asset_type,SYMBOL,SECURITY_NAME,SEDOL,ISIN,reference_price_date,reference_price,fund_price,price_difference
Bond,GB00B6460505,UNITED KINGDOM GILT 4.25% 12/07/2040 REGS,B646050,GB00B6460505,2023-08-31,152.44,152.57,0.13
Bond,GB00BYY5F144,UNITED KINGDOM I/L GILT 0.125% 03/22/2026 REGS,BYY5F14,GB00BYY5F144,2023-08-31,140.07,139.46,-0.61
Bond,ES00000128C6,BONOS Y OBLIG DEL ESTADO 2.9% 10/31/2046 144A,BYZ0LZ4,ES00000128C6,2023-08-31,134.92,134.76,-0.16
Bond,ES00000121S7,BONOS Y OBLIG DEL ESTADO 4.7% 07/30/2041 144A,B4KCFS6,ES00000121S7,2023-08-31,164.01,163.93,-0.08
Bond,GB00BD9MZZ71,UNITED KINGDOM I/L GILT 0.125% 11/22/2065 REGS,BD9MZZ7,GB00BD9MZZ71,2023-08-31,325.74,326.34,0.6
Bond,AT0000A1K9C8,REPUBLIC OF AUSTRIA 0.75 % 10/20/2026 144A ,BYN4DC9,AT0000A1K9C8,2023-08-31,105.41,105.26,-0.15
Bond,DE0001030575,DEUTSCHLAND I/L BOND 0.1 % 4/15/2046 REGS,BZ0D4B2,DE0001030575,2023-08-31,181.37,181.11,-0.26
Bond,DK0009923807,KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,BJK1TG4,DK0009923807,2023-08-31,104.61,104.56,-0.05
Bond,GB00BNNGP551,UNITED KINGDOM I/L GILT 0.125% 08/10/2031 REGS,BNNGP55,GB00BNNGP551,2023-08-31,143.09,142.8,-0.29
Bond,GB00BZ13DV40,UNITED KINGDOM I/L GILT 0.125% 08/10/2048 REGS,BZ13DV4,GB00BZ13DV40,2023-08-31,217.48,217.66,0.18
Bond,US9128287D64,TSY INFL IX N/B 0.25% 07/15/2029 ,BK53BD3,US9128287D64,2023-08-31,121.25,121.2,-0.05
Bond,US912810FS25,TSY INFL IX N/B 2% 01/15/2026,BZ56W67,US912810FS25,2023-08-31,161.6,161.49,-0.11
Bond,GB00B128DH60,UNITED KINGDOM I/L GILT 1.25% 11/22/2027 REGS,B128DH6,GB00B128DH60,2023-08-31,207.74,207.04,-0.7
Bond,US912810SB52,TSY INFL IX N/B 1% 02/15/2048,BFZBGW6,US912810SB52,2023-08-31,156.96,157.01,0.05
Bond,ES0000012932,BONOS Y OBLIG DEL ESTADO 4.2% 01/31/2037 144A,B05L4R2,ES0000012932,2023-08-31,147.15,147.12,-0.03
Bond,IT0003745541,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,B03KSM4,IT0003745541,2023-08-31,179.33,179.28,-0.05
Bond,GB0031790826,UNITED KINGDOM I/L GILT 2% 01/26/2035 REGS,3179082,GB0031790826,2023-08-31,308.76,308.13,-0.63
Bond,GB00BDX8CX86,UNITED KINGDOM I/L GILT 0.125% 03/22/2068 REGS,BDX8CX8,GB00BDX8CX86,2023-08-31,365.96,366.64,0.68
Bond,SE0013748258,SWEDEN I/L BOND 0.125 % 06/01/2030 144A ,BLP563,SE0013748258,2023-08-31,124.06,124.27,0.21
Bond,GB00B73ZYW09,UNITED KINGDOM I/L GILT 0.25% 03/22/2052 REGS,B73ZYW0,GB00B73ZYW09,2023-08-31,271.17,271.49,0.32
Bond,ES00000128C6,BONOS Y OBLIG DEL ESTADO 2.9% 10/31/2046 144A,BYZ0LZ4,ES00000128C6,2023-08-31,134.92,134.93,0.01
Bond,US91282CCM10,TSY INFL IX N/B 0.125% 07/15/2031 ,BNW0365,US91282CCM10,2023-08-31,115.96,116.02,0.06
Bond,GB00B6460505,UNITED KINGDOM GILT 4.25% 12/07/2040 REGS,B646050,GB00B6460505,2023-08-31,152.44,152.6,0.16
Bond,US912810FH69,TSY INFL IX N/B 3.875% 04/15/2029,2407096,US912810FH69,2023-08-31,234.54,234.48,-0.06
Bond,US912810RL44,TSY INFL IX N/B 0.75% 02/15/2045,BVXLS02,US912810RL44,2023-08-31,151.05,151.28,0.23
Bond,GB00BN65R313,UNITED KINGDOM GILT 3.5% 01/22/2045 REGS,BN65R31,GB00BN65R313,2023-08-31,146.61,146.76,0.15
Bond,ES00000127C8,SPAIN I/L BOND 1 % 11/30/2030 144A ,BWH62M0,ES00000127C8,2023-08-31,132.34,132.27,-0.07
Bond,IT0005274805,BUONI POLIENNALI DEL TES 2.1% 08/01/2027 REGS,BD1MF44,IT0005274805,2023-08-31,108.28,108.2,-0.08
Bond,SE0000556599,SWEDEN I/L BOND 3.5 % 12/01/2028 144A ,5681217,SE0000556599,2023-08-31,192.39,192.58,0.19
Bond,US912810FD55,TSY INFL IX N/B 3.625% 04/15/2028,2235037,US912810FD55,2023-08-31,227.64,227.46,-0.18
Bond,FR0012558310,FRANCE (GOVT OF) 0.1% 03/01/2025 0.0% REGS,BW4Q278,FR0012558310,2023-08-31,114.11,114.05,-0.06
Bond,IT0005024234,BUONI POLIENNALI DEL TES 3.5% 03/01/2030 144A,BMNDJV3,IT0005024234,2023-08-31,120.59,120.53,-0.06
Bond,GB00BYVP4K94,UNITED KINGDOM I/L GILT 0.125% 11/22/2056 REGS,BYVP4K9,GB00BYVP4K94,2023-08-31,262.85,263.16,0.31
Bond,IT0003256820,BUONI POLIENNALI DEL TES 5.8% 02/01/2033 REGS,7335318,IT0003256820,2023-08-31,147.03,146.96,-0.07
Bond,US912810RA88,TSY INFL IX N/B 0.625% 02/15/2043,B9JHJX0,US912810RA88,2023-08-31,149.42,149.65,0.23
Bond,FR0011461037,FRANCE (GOVT OF) 3.25 % 05/25/2045 REGS ,B9MBCD0,FR0011461037,2023-08-31,154.27,154.26,-0.01
Bond,FR0013238268,FRANCE (GOVT OF) 0.1% 03/01/2028 REGS,BDCKIW3,FR0013238268,2023-08-31,119.91,119.85,-0.06
Bond,GB00B85SFQ54,UNITED KINGDOM I/L GILT 0.125% 03/22/2024 REGS,B85SFQ5,GB00B85SFQ54,2023-08-31,140.91,140.79,-0.12
Bond,GB00BYY5F144,UNITED KINGDOM I/L GILT 0.125% 03/22/2026 REGS,BYY5F14,GB00BYY5F144,2023-08-31,140.07,140.07,0.0
Bond,DE0001030567,DEUTSCHLAND I/L BOND 0.1 % 4/15/2026 REGS,,DE0001030567,2023-08-31,121.48,121.6,0.12
Bond,IT0004735152,BUONI POLIENNALI DEL TES 3.1% 09/15/2026 144A,,IT0004735152,2023-08-31,140.55,140.66,0.11
Bond,FR0000188799,FRANCE (GOVT OF) 3.15 % 07/25/2032 REGS ,,FR0000188799,2023-08-31,209.31,209.19,-0.12
Bond,DK0009923807,KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,,DK0009923807,2023-08-31,104.61,104.56,-0.05
Bond,US912810FS25,TSY INFL IX N/B 2% 01/15/2026,,US912810FS25,2023-08-31,161.6,161.49,-0.11
Bond,US912810FQ68,TSY INFL IX N/B 3.375% 04/15/2032,,US912810FQ68,2023-08-31,231.8,231.76,-0.04
Bond,GB00B3MYD345,UNITED KINGDOM I/L GILT 0.625% 11/22/2042 REGS,,GB00B3MYD345,2023-08-31,272.85,273.07,0.22
Bond,MX0MG00000H9,MEX BONOS DESARR FIX RT 8.5 % 05/31/2029 ,,MX0MG00000H9,2023-08-31,105.84,105.8,-0.04
Bond,IT0003745541,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,,IT0003745541,2023-08-31,179.33,179.28,-0.05
Bond,JP1103571L10,JAPAN (10 YEAR ISSUE) 0.1 % 12/20/2029 ,,JP1103571L10,2023-08-31,101.05,100.99,-0.06
Bond,GB00BL68HJ26,UNITED KINGDOM GILT 0.125% 01/30/2026 REGS,,GB00BL68HJ26,2023-08-31,97.58,97.25,-0.33
Bond,CA135087YK42,CANADIAN GOVERNMENT RRB 2.0% 12/01/2041,,CA135087YK42,2023-08-31,186.62,186.62,0.0
Bond,ES00000128E2,BONOS Y OBLIG DEL ESTADO 3.5% 07/30/2066 144A,,ES00000128E2,2023-08-31,150.39,150.26,-0.13
Bond,CND100045210,CHINA GOVERNMENT BOND 3.0% 03/11/2026,,CND100045210,2023-08-31,101.82,101.88,0.06
Bond,CA135087VS05,CANADIAN GOVERNMENT RRB 4.3% 12/01/2026,,CA135087VS05,2023-08-31,206.66,206.46,-0.2
Bond,DE0001030559,DEUTSCHLAND I/L BOND 0.5 % 4/15/2030 REGS,,DE0001030559,2023-08-31,135.99,136.08,0.09
Bond,BE0000304130,BELGIUM KINGDOM 5% 3/28/2035 144A,,BE0000304130,2023-08-31,160.34,160.27,-0.07
Bond,US912810SM18,TSY INFL IX N/B 0.25% 02/15/2050 ,,US912810SM18,2023-08-31,130.0,130.04,0.04
Bond,CA135087WV25,CANADIAN GOVERNMENT RRB 4.0% 12/01/2031,,CA135087WV25,2023-08-31,230.45,230.3,-0.15
Bond,ES0000012B39,BONOS Y OBLIG DEL ESTADO 1.4% 04/30/2028 144A,,ES0000012B39,2023-08-31,108.14,108.18,0.04
Bond,IT0005387052,FIN-BUONI POLIENNALI DEL TES 0.4% 05/15/2030 144A,BK5MSX9,IT0005387052,2023-08-31,114.31,114.31,0.0
Bond,JP1300521G93,FIN-JAPAN (30 YEAR ISSUE) 0.5 % 09/20/2046 ,BD8CPW5,JP1300521G93,2023-08-31,98.14,98.14,0.0
Bond,SE0008014062,FIN-SWEDEN I/L BOND 0.125 % 06/01/2026,BDCRN33,SE0008014062,2023-08-31,122.42,122.42,0.0
Bond,US9128285W63,FIN-TSY INFL IX N/B 0.875% 01/15/2029,BJB9TW3,US9128285W63,2023-08-31,126.89,126.89,0.0
Bond,US9128282L36,FIN-TSY INFL IX N/B 0.375% 07/15/2027 ,BYZ6DQ7,US9128282L36,2023-08-31,125.74,125.74,0.0
Bond,IT0005024234,FIN-BUONI POLIENNALI DEL TES 3.5% 03/01/2030 144A,BMNDJV3,IT0005024234,2023-08-31,120.59,120.59,0.0
Bond,FR0000188799,FIN-FRANCE (GOVT OF) 3.15 % 07/25/2032 REGS ,7453317,FR0000188799,2023-08-31,209.31,209.31,0.0
Bond,NL0011819040,FIN-NETHERLANDS GOVERNMENT 0.5 % 07/15/2026 144A ,BZ571P2,NL0011819040,2023-08-31,104.45,104.45,0.0
Bond,FR0013238268,FIN-FRANCE (GOVT OF) 0.1% 03/01/2028 REGS,BDCKIW3,FR0013238268,2023-08-31,119.91,119.91,0.0
Bond,GB00BBJNQY21,FIN-UNITED KINGDOM GILT 3.5% 07/22/2068 REGS,BBJNQY2,GB00BBJNQY21,2023-08-31,196.1,196.1,0.0
Bond,GB00B7RN0G65,FIN-UNITED KINGDOM I/L GILT 0.125% 03/22/2044 REGS,B7RN0G6,GB00B7RN0G65,2023-08-31,224.78,224.78,0.0
Bond,US912810FH69,FIN-TSY INFL IX N/B 3.875% 04/15/2029,2407096,US912810FH69,2023-08-31,234.54,234.54,0.0
Bond,DE0001030559,FIN-DEUTSCHLAND I/L BOND 0.5 % 4/15/2030 REGS,BLM7VX5,DE0001030559,2023-08-31,135.99,135.99,0.0
Bond,GB00BYMWG366,FIN-UNITED KINGDOM I/L GILT 0.125% 03/22/2046 REGS,BYMWG36,GB00BYMWG366,2023-08-31,219.77,219.77,0.0
Bond,GB0008932666,FIN-UNITED KINGDOM I/L GILT 4.125% 07/22/2030 REGS,893266,GB0008932666,2023-08-31,385.44,385.44,0.0
Bond,US912810FS25,FIN-TSY INFL IX N/B 2% 01/15/2026,BZ56W67,US912810FS25,2023-08-31,161.6,161.6,0.0
Bond,SE0007045745,FIN-SWEDEN I/L BOND 0.125 % 06/01/2032 144A ,BX3JD83,SE0007045745,2023-08-31,138.84,138.84,0.0
Bond,ES00000128E2,FIN-BONOS Y OBLIG DEL ESTADO 3.5% 07/30/2066 144A,BYZK819,ES00000128E2,2023-08-31,150.39,150.39,0.0
Bond,FR0013209871,FIN-FRANCE (GOVT OF) 0.1% 07/25/2047 0.0% 144A,BYX4Z34,FR0013209871,2023-08-31,151.97,151.97,0.0
Bond,DE0001030567,DEUTSCHLAND I/L BOND 0.1 % 4/15/2026 REGS,,DE0001030567,2023-08-31,121.48,121.38,-0.1
Bond,IT0004735152,BUONI POLIENNALI DEL TES 3.1% 09/15/2026 144A,,IT0004735152,2023-08-31,140.55,140.38,-0.17
Bond,FR0000188799,FRANCE (GOVT OF) 3.15 % 07/25/2032 REGS ,,FR0000188799,2023-08-31,209.31,209.05,-0.26
Bond,DK0009923807,KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,,DK0009923807,2023-08-31,104.61,104.53,-0.08
Bond,US912810FS25,TSY INFL IX N/B 2% 01/15/2026,,US912810FS25,2023-08-31,161.6,161.34,-0.26
Bond,US912810FQ68,TSY INFL IX N/B 3.375% 04/15/2032,,US912810FQ68,2023-08-31,231.8,231.82,0.02
Bond,GB00B3MYD345,UNITED KINGDOM I/L GILT 0.625% 11/22/2042 REGS,,GB00B3MYD345,2023-08-31,272.85,272.96,0.11
Bond,MX0MG00000H9,MEX BONOS DESARR FIX RT 8.5 % 05/31/2029 ,,MX0MG00000H9,2023-08-31,105.84,105.84,0.0
Bond,IT0003745541,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,,IT0003745541,2023-08-31,179.33,179.13,-0.2
Bond,JP1103571L10,JAPAN (10 YEAR ISSUE) 0.1 % 12/20/2029 ,,JP1103571L10,2023-08-31,101.05,100.91,-0.14
Bond,GB00BL68HJ26,UNITED KINGDOM GILT 0.125% 01/30/2026 REGS,,GB00BL68HJ26,2023-08-31,97.58,97.6,0.02
Bond,CA135087YK42,CANADIAN GOVERNMENT RRB 2.0% 12/01/2041,,CA135087YK42,2023-08-31,186.62,186.69,0.07
Bond,ES00000128E2,BONOS Y OBLIG DEL ESTADO 3.5% 07/30/2066 144A,,ES00000128E2,2023-08-31,150.39,150.24,-0.15
Bond,CND100045210,CHINA GOVERNMENT BOND 3.0% 03/11/2026,,CND100045210,2023-08-31,101.82,101.82,0.0
Bond,CA135087VS05,CANADIAN GOVERNMENT RRB 4.3% 12/01/2026,,CA135087VS05,2023-08-31,206.66,206.42,-0.24
Bond,DE0001030559,DEUTSCHLAND I/L BOND 0.5 % 4/15/2030 REGS,,DE0001030559,2023-08-31,135.99,135.88,-0.11
Bond,BE0000304130,BELGIUM KINGDOM 5% 3/28/2035 144A,,BE0000304130,2023-08-31,160.34,160.26,-0.08
Bond,US912810SM18,TSY INFL IX N/B 0.25% 02/15/2050 ,,US912810SM18,2023-08-31,130.0,130.09,0.09
Bond,CA135087WV25,CANADIAN GOVERNMENT RRB 4.0% 12/01/2031,,CA135087WV25,2023-08-31,230.45,230.27,-0.18
Bond,ES0000012B39,BONOS Y OBLIG DEL ESTADO 1.4% 04/30/2028 144A,,ES0000012B39,2023-08-31,108.14,108.06,-0.08
Bond,FR0013410552,SEC-FRANCE (GOVT OF) 0.1% 03/01/2029 0.0% REGS,,FR0013410552,2023-08-31,120.2,120.18,-0.02
Bond,CA135087G997,SEC-CANADIAN GOVERNMENT RRB 0.5% 12/01/2050,,CA135087G997,2023-08-31,131.54,131.83,0.29
Bond,GB00BNNGP882,SEC-UNITED KINGDOM I/L GILT 0.125% 03/22/2051 REGS,,GB00BNNGP882,2023-08-31,212.81,213.04,0.23
Bond,AU000XCLWAF4,SEC-AUSTRALIAN GOVERNMENT 2% 08/21/2035 REGS,,AU000XCLWAF4,2023-08-31,155.53,155.71,0.18
Bond,GB00B128DH60,SEC-UNITED KINGDOM I/L GILT 1.25% 11/22/2027 REGS,,GB00B128DH60,2023-08-31,207.74,207.51,-0.23
Bond,FR0000188799,SEC-FRANCE (GOVT OF) 3.15 % 07/25/2032 REGS ,,FR0000188799,2023-08-31,209.31,209.31,0.0
Bond,DE0001030575,SEC-DEUTSCHLAND I/L BOND 0.1 % 4/15/2046 REGS,,DE0001030575,2023-08-31,181.37,181.53,0.16
Bond,US912828B253,SEC-TSY INFL IX N/B 0.625% 01/15/2024,,US912828B253,2023-08-31,126.49,126.21,-0.28
Bond,SE0005703550,SEC-SWEDEN I/L BOND 1% 06/01/2025 144A ,,SE0005703550,2023-08-31,123.1,123.16,0.06
Bond,GB00B0CNHZ09,SEC-UNITED KINGDOM I/L GILT 1.25% 11/22/2055 REGS,,GB00B0CNHZ09,2023-08-31,451.06,451.56,0.5
Bond,GB00B3Y1JG82,SEC-UNITED KINGDOM I/L GILT 0.125% 03/22/2029 REGS,,GB00B3Y1JG82,2023-08-31,165.49,165.31,-0.18
Bond,IT0004735152,SEC-BUONI POLIENNALI DEL TES 3.1% 09/15/2026 144A,,IT0004735152,2023-08-31,140.55,140.42,-0.13
Bond,US912810SG40,SEC-TSY INFL IX N/B 1% 02/15/2049,,US912810SG40,2023-08-31,155.7,155.92,0.22
Bond,GB00BN65R313,SEC-UNITED KINGDOM GILT 3.5% 01/22/2045 REGS,,GB00BN65R313,2023-08-31,146.61,146.7,0.09
Bond,CA135087VS05,SEC-CANADIAN GOVERNMENT RRB 4.3% 12/01/2026,,CA135087VS05,2023-08-31,206.66,206.81,0.15
Bond,GB00BD9MZZ71,SEC-UNITED KINGDOM I/L GILT 0.125% 11/22/2065 REGS,,GB00BD9MZZ71,2023-08-31,325.74,326.02,0.28
Bond,FR0013519253,SEC-FRANCE (GOVT OF) 0.1% 03/01/2026 0.0% 144A,,FR0013519253,2023-08-31,113.93,113.87,-0.06
Bond,NL0009446418,SEC-NETHERLANDS GOVERNMENT 3.75 % 01/15/2042 144A ,,NL0009446418,2023-08-31,170.74,170.69,-0.05
Bond,CA135087K940,SEC-CANADIAN GOVERNMENT 0.5% 09/01/2025,,CA135087K940,2023-08-31,97.76,97.75,-0.01
Bond,AU0000XCLWV6,SEC-AUSTRALIAN GOVERNMENT 2.5% 09/20/2030 REGS,,AU0000XCLWV6,2023-08-31,161.21,161.35,0.14
Bond,DK0009923807,SEC-KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,,DK0009923807,2023-08-31,104.61,104.62,0.01
Bond,US912810QF84,SEC-TSY INFL IX N/B 2.125% 02/15/2040,,US912810QF84,2023-08-31,195.76,195.95,0.19
Bond,BE0000331406,SEC-BELGIUM KINGDOM 3.75% 6/22/2045 REGS,,BE0000331406,2023-08-31,163.87,163.82,-0.05
Bond,JP1400131L54,SEC-JAPAN (40 YEAR ISSUE) 0.5 % 03/20/2060 ,,JP1400131L54,2023-08-31,92.7,92.62,-0.08
Bond,US912828WU04,TSY INFL IX N/B 0.125% 07/15/2024 ,,US912828WU04,2023-08-31,124.48,124.5,0.02
Bond,ES0000012411,BONOS Y OBLIG DEL ESTADO 5.75% 07/30/2032,,ES0000012411,2023-08-31,153.57,153.98,0.41
Bond,IT0005024234,BUONI POLIENNALI DEL TES 3.5% 03/01/2030 144A,,IT0005024234,2023-08-31,120.59,120.88,0.29
Bond,GB00B3Y1JG82,UNITED KINGDOM I/L GILT 0.125% 03/22/2029 REGS,,GB00B3Y1JG82,2023-08-31,165.49,165.48,-0.01
Bond,GB00BGDYHF49,UNITED KINGDOM I/L GILT 0.125% 08/10/2041 REGS,,GB00BGDYHF49,2023-08-31,187.3,187.49,0.19
Bond,FR0013327491,FRANCE (GOVT OF) 0.1% 07/25/2036 0.0% 144A,,FR0013327491,2023-08-31,132.39,132.61,0.22
Bond,ES00000127G9,BONOS Y OBLIG DEL ESTADO 2.2% 10/31/2025 144A,,ES00000127G9,2023-08-31,109.32,109.56,0.24
Bond,CA135087B949,CANADIAN GOVERNMENT RRB 1.3% 12/01/2047,,CA135087B949,2023-08-31,158.53,158.85,0.32
Bond,US912828B253,TSY INFL IX N/B 0.625% 01/15/2024,,US912828B253,2023-08-31,126.49,126.52,0.03
Bond,DE0001030559,DEUTSCHLAND I/L BOND 0.5 % 4/15/2030 REGS,,DE0001030559,2023-08-31,135.99,136.32,0.33
Bond,DE0001030567,DEUTSCHLAND I/L BOND 0.1 % 4/15/2026 REGS,,DE0001030567,2023-08-31,121.48,121.71,0.23
Bond,IT0004545890,BUONI POLIENNALI DEL TES 2.6% 09/15/2041 144A,,IT0004545890,2023-08-31,185.0,185.4,0.4
Bond,AT0000A1K9C8,REPUBLIC OF AUSTRIA 0.75 % 10/20/2026 144A ,,AT0000A1K9C8,2023-08-31,105.41,105.6,0.19
Bond,US912810PV44,TSY INFL IX N/B 1.75% 01/15/2028,,US912810PV44,2023-08-31,158.68,158.82,0.14
Bond,GB00BN65R313,UNITED KINGDOM GILT 3.5% 01/22/2045 REGS,,GB00BN65R313,2023-08-31,146.61,146.75,0.14
Bond,CA135087K940,CANADIAN GOVERNMENT 0.5% 09/01/2025,,CA135087K940,2023-08-31,97.76,97.73,-0.03
Bond,US912828Z377,TSY INFL IX N/B 0.125% 01/15/2030 ,,US912828Z377,2023-08-31,119.45,119.62,0.17
Bond,CND100047QT4,CHINA GOVERNMENT BOND 3.0% 05/27/2031,,CND100047QT4,2023-08-31,101.7,101.72,0.02
Bond,AU0000018442,AUSTRALIAN GOVERNMENT 2.8% 05/21/2041 REGS,BF5J6P3,AU0000018442,2023-08-31,106.97,107.07,0.1
Bond,SE0008014062,SWEDEN I/L BOND 0.125 % 06/01/2026,BDCRN33,SE0008014062,2023-08-31,122.42,122.11,-0.31
Bond,AU000XCLWAV1,AUSTRALIAN GOVERNMENT 0.8% 11/21/2027 REGS,BF00GK6,AU000XCLWAV1,2023-08-31,119.34,119.08,-0.26
Bond,US912810PS15,TSY INFL IX N/B 2.375% 01/15/2027,BYQLTT6,US912810PS15,2023-08-31,166.0,165.68,-0.32
Bond,GB00BZ13DV40,UNITED KINGDOM I/L GILT 0.125% 08/10/2048 REGS,BZ13DV4,GB00BZ13DV40,2023-08-31,217.48,217.39,-0.09
Bond,US912828ZZ63,TSY INFL IX N/B 0.125% 07/15/2030 ,BLCGQJ3,US912828ZZ63,2023-08-31,120.72,120.57,-0.15
Bond,GB00BYZW3J87,UNITED KINGDOM I/L GILT 0.125% 11/22/2036 REGS,BYZW3J8,GB00BYZW3J87,2023-08-31,182.74,182.58,-0.16
Bond,US912810PZ57,TSY INFL IX N/B 2.5% 01/15/2029,BYQLTV8,US912810PZ57,2023-08-31,164.82,164.61,-0.21
Bond,JP1400131L54,JAPAN (40 YEAR ISSUE) 0.5 % 03/20/2060 ,BMC2Z46,JP1400131L54,2023-08-31,92.7,92.65,-0.05
Bond,IT0004243512,BUONI POLIENNALI DEL TES 2.6% 09/15/2023 144A,B1Z5FX4,IT0004243512,2023-08-31,134.94,134.85,-0.09
Bond,JP1201501E99,JAPAN (20 YEAR ISSUE) 1.4 % 09/20/2034 ,BQWJS35,JP1201501E99,2023-08-31,114.92,114.9,-0.02
Bond,GB00BMBL1F74,UNITED KINGDOM GILT 0.625% 10/22/2050 REGS,BMBL1F7,GB00BMBL1F74,2023-08-31,87.96,87.93,-0.03
Bond,GB00B24FFM16,UNITED KINGDOM I/L GILT 0.75% 11/22/2047 REGS,B24FFM1,GB00B24FFM16,2023-08-31,317.84,317.71,-0.13
Bond,GB00BN65R313,UNITED KINGDOM GILT 3.5% 01/22/2045 REGS,BN65R31,GB00BN65R313,2023-08-31,146.61,146.55,-0.06
Bond,GB00BDX8CX86,UNITED KINGDOM I/L GILT 0.125% 03/22/2068 REGS,BDX8CX8,GB00BDX8CX86,2023-08-31,365.96,365.83,-0.13
Bond,US912810FQ68,TSY INFL IX N/B 3.375% 04/15/2032,2805872,US912810FQ68,2023-08-31,231.8,231.73,-0.07
Bond,FR0013519253,FRANCE (GOVT OF) 0.1% 03/01/2026 0.0% 144A,BMY72S2,FR0013519253,2023-08-31,113.93,113.81,-0.12
Bond,ES0000012B39,BONOS Y OBLIG DEL ESTADO 1.4% 04/30/2028 144A,BF5F9L8,ES0000012B39,2023-08-31,108.14,108.09,-0.05
Bond,CA135087K940,CANADIAN GOVERNMENT 0.5% 09/01/2025,BM97LJ1,CA135087K940,2023-08-31,97.76,97.54,-0.22
Bond,SE0013748258,SWEDEN I/L BOND 0.125 % 06/01/2030 144A ,BLP563,SE0013748258,2023-08-31,124.06,123.85,-0.21
Bond,ES0000012B39,X_BONOS Y OBLIG DEL ESTADO 1.4% 04/30/2028 144A,BF5F9L8,ES0000012B39,2023-08-31,108.14,108.14,0.0
